Modelo,Descripción,Talla,Color,Stock Actual
J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,1
J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,2
J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,2
J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,2
J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,2
J0028,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,1
J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,1
J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,0
J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,1
J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,1
J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,2
J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,1
J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,1
J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,2
J0028,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,1
J0028,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,0
J0028,FRAGANCIA 30 ML MUÑA,30 ML,MUÑA,2
J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,2
J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,4
J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,7
J0028,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,2
J0028,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,2
J0028,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,3
J0028,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,2
J0028,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,2
J0028,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,4
J0028,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,1
J0028,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,2
J0028,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,1
J0028,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,2
J0028,FRAGANCIA 20 ML SANDALO,20 ML,SANDALO,2
