F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
16/08/2024,737,602010020140026,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,23/10/2024,UNI,0,23/10/2024,2,16/08/2024,1,1,,57.9,57.9,,JARDIN DEL ZEN
18/01/2024,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,17/11/2024,UNI,0,23/10/2024,20,17/11/2024,19,1,,57.9,57.9,,JARDIN DEL ZEN
05/01/2024,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,06/11/2024,UNI,0,06/11/2024,17,29/10/2024,16,1,,57.9,57.9,,JARDIN DEL ZEN
02/01/2024,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,11/11/2024,UNI,1,11/10/2024,22,11/11/2024,22,1,,57.9,57.9,02/01/2024,JARDIN DEL ZEN
08/08/2024,740,602010020140041,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,,05/09/2024,UNI,0,04/09/2024,3,05/09/2024,2,1,,57.9,57.9,,JARDIN DEL ZEN
02/01/2024,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,12/11/2024,UNI,1,06/11/2024,30,12/11/2024,29,3,,57.9,115.8,02/01/2024,JARDIN DEL ZEN
05/01/2024,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,12/11/2024,UNI,0,30/10/2024,30,12/11/2024,30,0,,69.9,0,,JARDIN DEL ZEN
02/10/2024,742,602010020140062,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ROSAS,180 ML,ROSAS,,02/10/2024,UNI,0,02/10/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
05/01/2024,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,23/10/2024,UNI,0,23/10/2024,32,13/10/2024,29,3,,57.9,173.7,,JARDIN DEL ZEN
18/01/2024,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,12/09/2024,UNI,0,28/08/2024,6,12/09/2024,4,2,,57.9,115.8,,JARDIN DEL ZEN
02/01/2024,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,12/11/2024,UNI,2,28/08/2024,10,12/11/2024,10,2,,57.9,115.8,02/01/2024,JARDIN DEL ZEN
05/01/2024,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,04/10/2024,UNI,0,25/09/2024,43,04/10/2024,40,3,,57.9,173.7,,JARDIN DEL ZEN
05/06/2024,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,18/11/2024,UNI,0,12/09/2024,6,18/11/2024,6,0,,57.9,0,,JARDIN DEL ZEN
30/04/2024,622,602030010000000,,J0024,CAJONERAS,.,.,,15/11/2024,UNI,0,13/11/2024,11,15/11/2024,10,1,,28.5,28.5,,JARDIN DEL ZEN
02/01/2024,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,05/06/2024,UNI,2,05/06/2024,1,04/04/2024,1,2,,39.9,79.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,25/09/2024,UNI,2,25/09/2024,3,20/09/2024,3,2,,49.9,99.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,30/10/2024,UNI,2,30/10/2024,3,16/10/2024,2,3,,65,195,02/01/2024,JARDIN DEL ZEN
05/01/2024,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,13/11/2024,UNI,0,13/11/2024,21,08/11/2024,17,4,,65,260,,JARDIN DEL ZEN
02/01/2024,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,,UNI,2,,0,,0,2,,39.9,79.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,23/10/2024,UNI,2,23/10/2024,3,22/09/2024,2,3,,49.9,149.7,02/01/2024,JARDIN DEL ZEN
02/01/2024,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,30/10/2024,UNI,1,30/10/2024,4,25/10/2024,3,2,,65,130,02/01/2024,JARDIN DEL ZEN
