Codigo,Modelo,Descripcion,Cant.
603010020000000,J0002,CANASTA CHICA,1.000
603010120000000,J0012,POSA VELA CERÁMICA GRANDE,2.000
602010010140078,J0021,AROMATIZADOR BAMBOO 180 ML VAINILLA,2.000
602070010040056,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,2.000
602070010050056,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,2.000
602070010040064,J0028,FRAGANCIA 10 ML SANDALO,2.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,2.000
602070010070028,J0028,FRAGANCIA 30 ML FELICIDAD,3.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,12.000
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,15.000
602020020210031,J0058,SPRAY AROMATIZADOR 550 ML HIERBA LUISA,15.000
602020020210035,J0058,SPRAY AROMATIZADOR 550 ML LAVANDA,5.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,20.000
602060020000013,J0064,VELA BOTÁNICA CANELA,2.000
602060020000010,J0064,VELA BOTÁNICA BRISAS DEL MAR,2.000
602060020000062,J0064,VELA BOTÁNICA ROSAS,2.000
605010020000000,J0067,ALMOHADILLA DE CUELLO,5.000
605010010000000,J0066,ALMOHADILLA DE CINTURA,3.000
605010050000000,J0235,ALMOHADILLA CUELLO ED.LIMITADA,2.000
605010040000000,J0234,ALMOHADILLA CINTURA ED. LIMITADA,2.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,2.000
605020010040011,J0069,ESENCIA 10 ML BUENAS NOCHES,2.000
605020010040052,J0069,ESENCIA 10 ML MIGRA FREE,3.000
605020010040066,J0069,ESENCIA 10 ML STRESS FREE,2.000
601010010120068,J0072,ACEITE NUTRITIVO 120 ML TIARE,5.000
601010050080005,J0076,ACEITE PARA MASAJES 34 ML ARMONÍA,3.000
601010050180024,J0076,ACEITE PARA MASAJES 240 ML ENERGÍA,1.000
601010050080024,J0076,ACEITE PARA MASAJES 34 ML ENERGÍA,2.000
601040010140065,J0086,COLONIA 180 ML SERENIDAD,6.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,5.000
601020020070073,J0102,CREMA HUMECTANTE 30 ML TRANQ.,3.000
601020080500081,J0108,REPELENTE 60 ML -,2.000
601100100320007,J0139,JABON HERBAL 180 GR ASTRINGENTE,2.000
601100100320072,J0139,JABON HERBAL 180 GR TONIFICANTE,2.000
601100100320032,J0139,JABON HERBAL 180 GR HUMECTANTE,4.000
601100100320063,J0139,JABON HERBAL 180 GR RUDA,2.000
604010010000046,J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,3.000
604010020000000,J0188,KIT BARRILITO,1.000
604010060000000,J0192,KIT COFRE DE ALMENDRAS,2.000
604010190000000,J0236,KIT ORQUIDEA BLANCA,1.000
601160010000000,J0241,BLEND BABY FACE,2.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,6.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,35.000
605030010000000,J0071,KIT JARDIN DEL ZEN,1.000
601020020160073,J0102,CREMA HUMECTANTE 190 GR TRANQ.,2.000
601020020160065,J0102,CREMA HUMECTANTE 190 GR SERENIDAD,2.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,3.000
602010010140031,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,2.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,2.000
602070010070024,J0028,FRAGANCIA 30 ML ENERGÍA,3.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,2.000
604010240000065,J0267,KIT ZEN RENOVADO SERENIDAD,2.000
601010050180073,J0076,ACEITE PARA MASAJES 240 ML TRANQ.,2.000
603010070000000,J0007,ESPONJA VEGETAL-LOOFA,2.000
602050360000000,J0358,DIFUSOR PARLANTE 350 ML SETIEMBRE 2024,1.000
602050390000000,J0365,DIFUSOR FLAME 130 ML NOVIEMBRE 2024,2.000
602050420000000,J0368,DIFUSOR MADERA 400 ML NOVIEMBRE 2024,1.000
602040080000000,J0369,CONO POTPOURRI REGALO 50 GR,2.000
602010010140090,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA SILVESTRE,1.000
602010010140084,J0021,AROMATIZADOR BAMBOO 180 ML TE BLANCO,3.000
602050380000086,J0364,DIFUSOR CERÁMICO PREMIUM ALPHA,3.000
602050380000087,J0364,DIFUSOR CERÁMICO PREMIUM MARINE,3.000
602050380000088,J0364,DIFUSOR CERÁMICO PREMIUM SUMMER,3.000
