F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,15/11/2024,UNI,1,15/11/2024,24,21/09/2024,22,3,,57.9,173.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,11/11/2024,UNI,2,24/10/2024,24,11/11/2024,24,1,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
20/12/2023,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,16/11/2024,UNI,0,31/10/2024,30,16/11/2024,30,0,,57.9,0,,JARDIN DEL ZEN
01/12/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,08/11/2024,UNI,2,08/11/2024,27,28/10/2024,27,2,,69.9,139.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,31/10/2024,UNI,1,31/10/2024,38,26/10/2024,37,1,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
10/01/2024,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,15/11/2024,UNI,0,15/11/2024,26,08/11/2024,24,1,,57.9,115.8,,JARDIN DEL ZEN
01/12/2023,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,17/10/2024,UNI,2,17/10/2024,19,13/10/2024,19,2,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
20/12/2023,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,17/11/2024,UNI,0,15/11/2024,36,17/11/2024,35,1,,57.9,57.9,,JARDIN DEL ZEN
01/12/2023,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,08/11/2024,UNI,1,08/11/2024,23,29/10/2024,22,2,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,622,602030010000000,,J0024,CAJONERAS,.,.,,10/10/2024,UNI,6,10/10/2024,41,29/09/2024,43,5,,28.5,114,01/12/2023,JARDIN DEL ZEN
01/12/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,,UNI,1,,0,,0,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,22/08/2024,UNI,1,21/02/2024,2,22/08/2024,1,3,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,10/04/2024,UNI,3,10/04/2024,1,02/12/2023,1,3,,65,195,01/12/2023,JARDIN DEL ZEN
01/12/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,08/11/2024,UNI,7,08/11/2024,15,02/11/2024,17,5,,65,325,01/12/2023,JARDIN DEL ZEN
01/12/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,12/11/2024,UNI,1,21/08/2024,5,12/11/2024,5,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,23/05/2024,UNI,3,23/05/2024,4,16/05/2024,5,1,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,22/08/2024,UNI,2,22/08/2024,14,02/08/2024,12,4,,65,260,01/12/2023,JARDIN DEL ZEN
01/12/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,15/11/2024,UNI,6,15/11/2024,36,09/11/2024,37,5,,65,325,01/12/2023,JARDIN DEL ZEN
01/12/2023,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,08/11/2024,UNI,3,08/11/2024,4,02/11/2024,5,3,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,06/11/2024,UNI,4,14/08/2024,12,06/11/2024,14,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,31/10/2024,UNI,3,31/10/2024,28,26/10/2024,27,4,,65,260,01/12/2023,JARDIN DEL ZEN
01/12/2023,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,18/11/2024,UNI,4,18/04/2024,4,18/11/2024,7,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,15/11/2024,UNI,3,14/08/2024,8,15/11/2024,9,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,14/11/2024,UNI,3,08/08/2024,15,14/11/2024,16,2,,65,130,01/12/2023,JARDIN DEL ZEN
17/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,15/11/2024,UNI,0,15/11/2024,2,08/11/2024,1,1,,39.9,39.9,,JARDIN DEL ZEN
17/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,17/10/2024,UNI,0,17/10/2024,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
17/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,12/11/2024,UNI,0,08/11/2024,4,12/11/2024,2,2,,65,130,,JARDIN DEL ZEN
01/12/2023,414,602070010040015,,J0028,FRAGANCIA 10 ML CHIRIMOYA,10 ML,CHIRIMOYA,,,UNI,1,,0,,0,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,444,602070010050015,,J0028,FRAGANCIA 20 ML CHIRIMOYA,20 ML,CHIRIMOYA,,,UNI,1,,0,,0,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,415,602070010040020,,J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,,22/08/2024,UNI,2,22/08/2024,3,25/04/2024,3,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,445,602070010050020,,J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,,29/08/2024,UNI,3,29/08/2024,4,24/08/2024,5,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,475,602070010070020,,J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,,08/11/2024,UNI,2,14/08/2024,10,08/11/2024,10,2,,65,130,01/12/2023,JARDIN DEL ZEN
18/05/2024,476,602070010070024,,J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,,17/10/2024,UNI,0,10/10/2024,36,17/10/2024,31,5,,65,325,,JARDIN DEL ZEN
01/12/2023,417,602070010040025,,J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,,24/01/2024,UNI,2,,0,24/01/2024,1,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,447,602070010050025,,J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,,13/09/2024,UNI,3,21/08/2024,6,13/09/2024,7,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
07/12/2023,477,602070010070025,,J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,,19/09/2024,UNI,0,19/09/2024,10,13/09/2024,8,2,,65,130,,JARDIN DEL ZEN
01/12/2023,418,602070010040026,,J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,,01/06/2024,UNI,2,03/05/2024,4,01/06/2024,5,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
18/04/2024,448,602070010050026,,J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,,24/10/2024,UNI,0,24/10/2024,6,19/10/2024,4,2,,49.9,99.8,,JARDIN DEL ZEN
01/12/2023,478,602070010070026,,J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,,24/10/2024,UNI,3,24/10/2024,7,11/09/2024,7,3,,65,195,01/12/2023,JARDIN DEL ZEN
01/12/2023,479,602070010070028,,J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,,18/11/2024,UNI,4,24/10/2024,87,18/11/2024,87,3,,65,260,01/12/2023,JARDIN DEL ZEN
01/12/2023,420,602070010040031,,J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,,31/10/2024,UNI,2,31/10/2024,6,21/10/2024,6,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,450,602070010050031,,J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,,10/10/2024,UNI,2,10/10/2024,21,05/10/2024,20,3,,49.9,149.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,480,602070010070031,,J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,,08/11/2024,UNI,5,31/10/2024,25,08/11/2024,28,2,,65,130,01/12/2023,JARDIN DEL ZEN
30/10/2024,1103,602070010040090,,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,10 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,31/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
30/10/2024,1104,602070010050090,,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,20 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,31/10/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
30/10/2024,1105,602070010070090,,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,30 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,31/10/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
01/12/2023,421,602070010040033,,J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,,20/03/2024,UNI,1,20/03/2024,2,16/03/2024,1,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,451,602070010050033,,J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,,09/05/2024,UNI,1,09/05/2024,4,01/05/2024,3,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
14/02/2024,481,602070010070033,,J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,,24/10/2024,UNI,0,24/10/2024,7,10/10/2024,5,2,,65,130,,JARDIN DEL ZEN
01/12/2023,422,602070010040035,,J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,,22/08/2024,UNI,2,22/08/2024,7,04/05/2024,6,3,,39.9,119.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,452,602070010050035,,J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,,15/11/2024,UNI,4,15/11/2024,6,03/11/2024,8,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,482,602070010070035,,J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,,31/10/2024,UNI,3,31/10/2024,7,22/10/2024,8,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,423,602070010040038,,J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,,25/04/2024,UNI,1,25/04/2024,2,10/04/2024,1,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,453,602070010050038,,J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,,03/04/2024,UNI,2,03/04/2024,2,31/03/2024,2,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,483,602070010070038,,J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,,24/10/2024,UNI,2,24/10/2024,4,18/10/2024,4,2,,65,130,01/12/2023,JARDIN DEL ZEN
08/11/2024,454,602070010050041,,J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,,15/11/2024,UNI,0,08/11/2024,2,15/11/2024,1,1,,49.9,49.9,,JARDIN DEL ZEN
01/12/2023,484,602070010070041,,J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,,08/11/2024,UNI,2,08/11/2024,4,21/10/2024,4,2,,65,130,01/12/2023,JARDIN DEL ZEN
18/04/2024,425,602070010040042,,J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,,09/05/2024,UNI,0,09/05/2024,3,23/04/2024,1,2,,39.9,79.8,,JARDIN DEL ZEN
04/01/2024,455,602070010050042,,J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,,22/08/2024,UNI,0,14/08/2024,5,22/08/2024,3,2,,49.9,99.8,,JARDIN DEL ZEN
01/12/2023,485,602070010070042,,J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,,13/09/2024,UNI,2,13/09/2024,6,02/09/2024,6,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,427,602070010040050,,J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,,09/05/2024,UNI,1,09/05/2024,2,,0,3,,39.9,119.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,457,602070010050050,,J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,,09/05/2024,UNI,2,09/05/2024,3,23/04/2024,3,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,487,602070010070050,,J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,,29/08/2024,UNI,2,29/08/2024,4,20/08/2024,4,2,,65,130,01/12/2023,JARDIN DEL ZEN
05/12/2023,458,602070010050053,,J0028,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,,05/12/2023,UNI,0,05/12/2023,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
