F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,FRAGANCIA 30 ML ARMONÍA,AROMATIZADORES,FRAGANCIAS,30 ML,,ARMONÍA,,2,65
01/11/2023,FRAGANCIA 10 ML BAMBOO,AROMATIZADORES,FRAGANCIAS,10 ML,,BAMBOO,,0,39.9
01/11/2023,FRAGANCIA 20 ML BAMBOO,AROMATIZADORES,FRAGANCIAS,20 ML,,BAMBOO,,2,49.9
01/11/2023,FRAGANCIA 30 ML BAMBOO,AROMATIZADORES,FRAGANCIAS,30 ML,,BAMBOO,,6,65
01/11/2023,FRAGANCIA 10 ML CANELA,AROMATIZADORES,FRAGANCIAS,10 ML,,CANELA,,0,39.9
01/11/2023,FRAGANCIA 20 ML CANELA,AROMATIZADORES,FRAGANCIAS,20 ML,,CANELA,,5,49.9
01/11/2023,FRAGANCIA 30 ML CANELA,AROMATIZADORES,FRAGANCIAS,30 ML,,CANELA,,5,65
18/10/2024,FRAGANCIA 10 ML CAPPUCCINO,AROMATIZADORES,FRAGANCIAS,10 ML,,CAPPUCCINO,,1,39.9
18/10/2024,FRAGANCIA 20 ML CAPPUCCINO,AROMATIZADORES,FRAGANCIAS,20 ML,,CAPPUCCINO,,2,49.9
18/10/2024,FRAGANCIA 30 ML CAPPUCCINO,AROMATIZADORES,FRAGANCIAS,30 ML,,CAPPUCCINO,,2,65
01/11/2023,FRAGANCIA 10 ML CHIRIMOYA,AROMATIZADORES,FRAGANCIAS,10 ML,,CHIRIMOYA,,0,39.9
01/11/2023,FRAGANCIA 20 ML CHIRIMOYA,AROMATIZADORES,FRAGANCIAS,20 ML,,CHIRIMOYA,,2,49.9
01/11/2023,FRAGANCIA 30 ML CHIRIMOYA,AROMATIZADORES,FRAGANCIAS,30 ML,,CHIRIMOYA,,1,65
01/11/2023,FRAGANCIA 10 ML COCO,AROMATIZADORES,FRAGANCIAS,10 ML,,COCO,,0,39.9
01/11/2023,FRAGANCIA 20 ML COCO,AROMATIZADORES,FRAGANCIAS,20 ML,,COCO,,2,49.9
01/11/2023,FRAGANCIA 30 ML COCO,AROMATIZADORES,FRAGANCIAS,30 ML,,COCO,,3,65
17/05/2024,FRAGANCIA 30 ML ENERGÍA,AROMATIZADORES,FRAGANCIAS,30 ML,,ENERGÍA,,6,65
01/11/2023,FRAGANCIA 10 ML ENERGIZANTE,AROMATIZADORES,FRAGANCIAS,10 ML,,ENERGIZANTE,,0,39.9
01/11/2023,FRAGANCIA 20 ML ENERGIZANTE,AROMATIZADORES,FRAGANCIAS,20 ML,,ENERGIZANTE,,0,49.9
01/11/2023,FRAGANCIA 30 ML ENERGIZANTE,AROMATIZADORES,FRAGANCIAS,30 ML,,ENERGIZANTE,,2,65
01/11/2023,FRAGANCIA 10 ML EUCALIPTO,AROMATIZADORES,FRAGANCIAS,10 ML,,EUCALIPTO,,0,39.9
01/11/2023,FRAGANCIA 20 ML EUCALIPTO,AROMATIZADORES,FRAGANCIAS,20 ML,,EUCALIPTO,,0,49.9
01/11/2023,FRAGANCIA 30 ML EUCALIPTO,AROMATIZADORES,FRAGANCIAS,30 ML,,EUCALIPTO,,2,65
01/11/2023,FRAGANCIA 30 ML FELICIDAD,AROMATIZADORES,FRAGANCIAS,30 ML,,FELICIDAD,,4,65
01/11/2023,FRAGANCIA 10 ML HIERBA LUISA,AROMATIZADORES,FRAGANCIAS,10 ML,,HIERBA LUISA,,0,39.9
01/11/2023,FRAGANCIA 20 ML HIERBA LUISA,AROMATIZADORES,FRAGANCIAS,20 ML,,HIERBA LUISA,,1,49.9
