Codigo,Modelo,Descripcion,Cant.
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,6.000
602020020210028,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,12.000
602020020210043,J0058,SPRAY AROMATIZADOR 550 ML MANZANA CANELA,3.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,13.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,20.000
601040010040024,J0086,COLONIA 10 ML ENERGÍA,2.000
601040010040028,J0086,COLONIA 10 ML FELICIDAD,4.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,4.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,4.000
601040010140028,J0086,COLONIA 180 ML FELICIDAD,6.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,15.000
601080040170005,J0116,EXFOLIANTE JABONOSO 220 ML ARMONÍA,3.000
601080040170073,J0116,EXFOLIANTE JABONOSO 220 ML TRANQ.,3.000
602060020000017,J0064,VELA BOTÁNICA CHOCOLATE,4.000
602060020000055,J0064,VELA BOTÁNICA NARANJA,2.000
601010050080003,J0076,ACEITE PARA MASAJES 34 ML AMOR,1.000
601010050180024,J0076,ACEITE PARA MASAJES 240 ML ENERGÍA,1.000
601100290300002,J0158,JABON OLIVA 100 GR ALMENDRAS,1.000
601100290300044,J0158,JABON OLIVA 100 GR MANZANILLA,2.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,6.000
602080010380073,J0049,INCIENSO TRANQ.,6.000
602080010380028,J0049,INCIENSO FELICIDAD,4.000
604010010000046,J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,2.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,2.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,2.000
602010010140035,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,1.000
605030010000000,J0071,KIT JARDIN DEL ZEN,1.000
603010140000000,J0208,PORTA POTPOURRI C/ POTPOURRI,2.000
602070010040004,J0028,FRAGANCIA 10 ML ANTI STRESS,2.000
602070010040008,J0028,FRAGANCIA 10 ML BAMBOO,2.000
602070010040083,J0028,FRAGANCIA 10 ML TÉ VERBENA,2.000
602070010050025,J0028,FRAGANCIA 20 ML ENERGIZANTE,1.000
602070010070025,J0028,FRAGANCIA 30 ML ENERGIZANTE,2.000
602070010070028,J0028,FRAGANCIA 30 ML FELICIDAD,4.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,2.000
604010300000000,J0353,KIT BUDA LIMPIADOR DE ENERGIAS,3.000
601120010370031,J0164,LOCION PARA MANOS Y CUERPO 50 ML HIERBA LUISA,1.000
601120010370050,J0164,LOCION PARA MANOS Y CUERPO 50 ML MENTA,1.000
601120010370053,J0164,LOCION PARA MANOS Y CUERPO 50 ML MUÑA,1.000
601120010370057,J0164,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,1.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,4.000
602050380000086,J0364,DIFUSOR CERÁMICO PREMIUM ALPHA,3.000
602050380000087,J0364,DIFUSOR CERÁMICO PREMIUM MARINE,3.000
602050380000088,J0364,DIFUSOR CERÁMICO PREMIUM SUMMER,3.000
602050400000000,J0366,DIFUSOR MADERA 500 ML NOVIEMBRE 2024,1.000
602050420000000,J0368,DIFUSOR MADERA 400 ML NOVIEMBRE 2024,1.000
602050410000000,J0367,DIFUSOR LED 300 ML NOVIEMBRE 2024,1.000
602050390000000,J0365,DIFUSOR FLAME 130 ML NOVIEMBRE 2024,2.000
602040080000000,J0369,CONO POTPOURRI REGALO 50 GR,2.000
602010010140084,J0021,AROMATIZADOR BAMBOO 180 ML TE BLANCO,3.000
