Codigo,Modelo,Descripcion,Cant.
602070010040004,J0028,FRAGANCIA 10 ML ANTI STRESS,1.000
602070010070026,J0028,FRAGANCIA 30 ML EUCALIPTO,1.000
602070010070024,J0028,FRAGANCIA 30 ML ENERGÍA,2.000
602070010070028,J0028,FRAGANCIA 30 ML FELICIDAD,2.000
602070010070050,J0028,FRAGANCIA 30 ML MENTA,1.000
602070010070053,J0028,FRAGANCIA 30 ML MUÑA,1.000
602080010380073,J0049,INCIENSO TRANQ.,2.000
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,8.000
602020020210028,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,6.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,15.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,18.000
602020020210083,J0058,SPRAY AROMATIZADOR 550 ML TÉ VERBENA,4.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,40.000
602060010000000,J0063,FAROLA,1.000
602060020000017,J0064,VELA BOTÁNICA CHOCOLATE,3.000
602060020000055,J0064,VELA BOTÁNICA NARANJA,1.000
602060020000013,J0064,VELA BOTÁNICA CANELA,1.000
605010020000000,J0067,ALMOHADILLA DE CUELLO,2.000
605010010000000,J0066,ALMOHADILLA DE CINTURA,2.000
605010050000000,J0235,ALMOHADILLA CUELLO ED.LIMITADA,1.000
605010040000000,J0234,ALMOHADILLA CINTURA ED. LIMITADA,1.000
605020010040052,J0069,ESENCIA 10 ML MIGRA FREE,6.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,5.000
601010140360020,J0304,ACEITE NUTRITIVO COCO 200 GR COCO,2.000
601010010120068,J0072,ACEITE NUTRITIVO 120 ML TIARE,3.000
601030010200003,J0079,BURBUJAS DE BAÑO 520 ML AMOR,1.000
601040010140028,J0086,COLONIA 180 ML FELICIDAD,4.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,6.000
601020080500081,J0108,REPELENTE 60 ML -,2.000
601080110360024,J0123,EXFOLIANTE OLEOSO 200 GR ENERGÍA,2.000
601100010300031,J0130,JABON AROMANDINA 100 GR HIERBA LUISA,2.000
601100010300063,J0130,JABON AROMANDINA 100 GR RUDA,2.000
601100010300057,J0130,JABON AROMANDINA 100 GR PALO SANTO,2.000
601100100320032,J0139,JABON HERBAL 180 GR HUMECTANTE,3.000
601120010370015,J0164,LOCION PARA MANOS Y CUERPO 50 ML CHIRIMOYA,1.000
601120010370050,J0164,LOCION PARA MANOS Y CUERPO 50 ML MENTA,1.000
601120010370057,J0164,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,2.000
601130020390062,J0166,SALES EN BALA 80 GR ROSAS,1.000
604010010000046,J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,2.000
604010060000000,J0192,KIT COFRE DE ALMENDRAS,3.000
601100340000000,J0205,JABON DE LA ABUELA CAJA X 3 UNIDADES,4.000
601100350000000,J0206,JABON OLIVA CAJA X 3 UNIDADES,3.000
604010050000000,J0191,KIT COCO,2.000
604010110000000,J0197,KIT FRESH VERBENA,2.000
604010190000000,J0236,KIT ORQUIDEA BLANCA,2.000
604010030000000,J0189,KIT BOTANICO,6.000
601130070000000,J0207,SALES EN BALA CAJA X 4 UNIDADES,2.000
604010240000003,J0267,KIT ZEN RENOVADO AMOR,1.000
604010240000028,J0267,KIT ZEN RENOVADO FELICIDAD,1.000
602027060500000,J0326,SPRAY AROMATIZADOR TRANQUILIDAD 60 ML,5.000
602027080500000,J0328,SPRAY AROMATIZADOR ARMONÍA 60 ML,3.000
602027050500000,J0325,SPRAY AROMATIZADOR SERENIDAD 60 ML,3.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,4.000
602027100210086,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML ALPHA,4.000
602010010140084,J0021,AROMATIZADOR BAMBOO 180 ML TE BLANCO,3.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,1.000
602050380000087,J0364,DIFUSOR CERÁMICO PREMIUM MARINE,3.000
602050380000086,J0364,DIFUSOR CERÁMICO PREMIUM ALPHA,3.000
602050380000088,J0364,DIFUSOR CERÁMICO PREMIUM SUMMER,3.000
602050360000000,J0358,DIFUSOR PARLANTE 350 ML SETIEMBRE 2024,1.000
602050390000000,J0365,DIFUSOR FLAME 130 ML NOVIEMBRE 2024,3.000
602040080000000,J0369,CONO POTPOURRI REGALO 50 GR,2.000
602050400000000,J0366,DIFUSOR MADERA 500 ML NOVIEMBRE 2024,2.000
602010020140065,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,2.000
602010020140031,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,2.000
602010020140043,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,1.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,1.000
602010020140035,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,1.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,2.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,2.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,3.000
