Codigo,Modelo,Descripcion,Cant.
603010060000000,J0006,ESPONJA TEJIDA,2.000
602010010140043,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,2.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602010020140024,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,2.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,1.000
602030010000000,J0024,CAJONERAS,2.000
602040010300060,J0050,CONO POTPOURRI 100 GR RELAJANTE,1.000
602080010380005,J0049,INCIENSO ARMONÍA,3.000
602080010380028,J0049,INCIENSO FELICIDAD,3.000
602080010380073,J0049,INCIENSO TRANQ.,3.000
602060010000000,J0063,FAROLA,2.000
602060020000017,J0064,VELA BOTÁNICA CHOCOLATE,2.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,8.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,15.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,40.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,30.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,5.000
605020010040011,J0069,ESENCIA 10 ML BUENAS NOCHES,5.000
605020010040048,J0069,ESENCIA 10 ML ME SIENTO SEXY,2.000
605020010040052,J0069,ESENCIA 10 ML MIGRA FREE,3.000
605020010040066,J0069,ESENCIA 10 ML STRESS FREE,3.000
601030010130003,J0079,BURBUJAS DE BAÑO 173 ML AMOR,2.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,8.000
601080110360073,J0123,EXFOLIANTE OLEOSO 200 GR TRANQ.,2.000
601100100320032,J0139,JABON HERBAL 180 GR HUMECTANTE,4.000
604010030000000,J0189,KIT BOTANICO,2.000
603010140000000,J0208,PORTA POTPOURRI C/ POTPOURRI,2.000
604010280000000,J0321,KIT LIMPIADOR DE ENERGÍAS,3.000
602027070500000,J0327,SPRAY AROMATIZADOR ENERGÍA 60 ML,5.000
602027090500000,J0329,SPRAY AROMATIZADOR FELICIDAD 60 ML,5.000
602027060500000,J0326,SPRAY AROMATIZADOR TRANQUILIDAD 60 ML,6.000
602050370000000,J0359,DIFUSOR FLAME 180 ML SETIEMBRE 2024,1.000
604010240000073,J0267,KIT ZEN RENOVADO TRANQ.,2.000
601080010400077,J0113,ESPUMA EXFOLIANTE 400 GR UVA,1.000
601100040150008,J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,3.000
602010010140031,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,1.000
