F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,01/11/2024,UNI,1,04/10/2024,10,01/11/2024,11,0,,57.9,0,01/10/2023,JARDIN DEL ZEN
10/10/2023,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,27/05/2024,UNI,0,27/05/2024,4,21/04/2024,3,1,,57.9,57.9,,JARDIN DEL ZEN
22/12/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,08/07/2024,UNI,0,08/07/2024,2,14/04/2024,1,1,,57.9,57.9,,JARDIN DEL ZEN
13/09/2024,740,602010020140041,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,,13/09/2024,UNI,0,13/09/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
01/10/2023,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,08/07/2024,UNI,1,08/07/2024,5,30/06/2024,5,1,,57.9,57.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,17/11/2024,UNI,3,04/11/2024,17,17/11/2024,19,1,,69.9,69.9,01/10/2023,JARDIN DEL ZEN
06/09/2024,742,602010020140062,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ROSAS,180 ML,ROSAS,,06/09/2024,UNI,0,06/09/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
10/10/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,28/10/2024,UNI,0,25/10/2024,9,28/10/2024,9,0,,57.9,0,,JARDIN DEL ZEN
01/10/2023,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,22/03/2024,UNI,1,22/03/2024,3,17/12/2023,2,2,,57.9,115.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,03/09/2024,UNI,1,20/08/2024,7,03/09/2024,6,2,,57.9,115.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,18/11/2024,UNI,1,04/11/2024,11,18/11/2024,12,0,,57.9,0,01/10/2023,JARDIN DEL ZEN
22/12/2023,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,13/09/2024,UNI,0,13/09/2024,4,07/09/2024,3,1,,57.9,57.9,,JARDIN DEL ZEN
01/10/2023,622,602030010000000,,J0024,CAJONERAS,.,.,,13/11/2024,UNI,2,24/10/2023,3,13/11/2024,5,0,,28.5,0,01/10/2023,JARDIN DEL ZEN
01/10/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,06/11/2023,UNI,2,,0,06/11/2023,0,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,15/11/2024,UNI,2,15/11/2024,1,03/09/2024,1,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,12/08/2024,UNI,2,12/08/2024,1,,0,3,,65,195,01/10/2023,JARDIN DEL ZEN
01/10/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,18/10/2024,UNI,6,27/05/2024,8,18/10/2024,11,3,,65,195,01/10/2023,JARDIN DEL ZEN
06/11/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,31/05/2024,UNI,0,31/05/2024,5,31/05/2024,3,2,,39.9,79.8,,JARDIN DEL ZEN
01/10/2023,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,04/09/2024,UNI,2,04/09/2024,3,31/05/2024,2,3,,49.9,149.7,01/10/2023,JARDIN DEL ZEN
01/10/2023,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,15/11/2024,UNI,2,15/11/2024,2,09/11/2024,2,2,,65,130,01/10/2023,JARDIN DEL ZEN
01/10/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,15/11/2024,UNI,4,15/11/2024,20,10/11/2024,18,6,,65,390,01/10/2023,JARDIN DEL ZEN
01/10/2023,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,13/05/2024,UNI,4,13/05/2024,8,30/04/2024,10,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,15/11/2024,UNI,2,15/11/2024,9,14/10/2024,9,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,08/11/2024,UNI,1,08/11/2024,11,24/10/2024,8,4,,65,260,01/10/2023,JARDIN DEL ZEN
