Codigo,Modelo,Descripcion,Cant.
603010010000000,J0001,APAGA VELA,2.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,3.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,3.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,3.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,6.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,3.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,4.000
602010020140005,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,1.000
602010020140024,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,1.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,1.000
602010020140043,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,1.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,2.000
602010020140078,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,1.000
605010010000000,J0066,ALMOHADILLA DE CINTURA,2.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,3.000
601010010120069,J0072,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,3.000
601010140360020,J0304,ACEITE NUTRITIVO COCO 200 GR COCO,1.000
601010050180028,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,1.000
601010050180065,J0076,ACEITE PARA MASAJES 240 ML SERENIDAD,1.000
601010050180073,J0076,ACEITE PARA MASAJES 240 ML TRANQ.,1.000
601030170200000,J0336,BURBUJA DE BAÑO AMOR + PUMP 520 ML,2.000
602040010300025,J0050,CONO POTPOURRI 100 GR ENERGIZANTE,1.000
602040010300060,J0050,CONO POTPOURRI 100 GR RELAJANTE,1.000
602040010300078,J0050,CONO POTPOURRI 100 GR VAINILLA,1.000
601040010040003,J0086,COLONIA 10 ML AMOR,5.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,5.000
601040010040028,J0086,COLONIA 10 ML FELICIDAD,5.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,6.000
601040010140005,J0086,COLONIA 180 ML ARMONÍA,10.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,12.000
601020020160028,J0102,CREMA HUMECTANTE 190 GR FELICIDAD,2.000
601040040140056,J0230,COLONIAS EDICION ESPECIAL 180 ML ORQUIDEA BLANCA,10.000
602070010040020,J0028,FRAGANCIA 10 ML COCO,1.000
602070010040025,J0028,FRAGANCIA 10 ML ENERGIZANTE,1.000
602070010040033,J0028,FRAGANCIA 10 ML JAZMIN,1.000
602070010040078,J0028,FRAGANCIA 10 ML VAINILLA,1.000
602070010070008,J0028,FRAGANCIA 30 ML BAMBOO,1.000
602070010070020,J0028,FRAGANCIA 30 ML COCO,1.000
602070010070025,J0028,FRAGANCIA 30 ML ENERGIZANTE,1.000
602070010070031,J0028,FRAGANCIA 30 ML HIERBA LUISA,4.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,4.000
602070010070060,J0028,FRAGANCIA 30 ML RELAJANTE,1.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,4.000
601090010090073,J0129,GEL ANTIBACTERIAL 35 ML TRANQ.,4.000
602080010380024,J0049,INCIENSO ENERGÍA,4.000
601100040150008,J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,2.000
605010040000000,J0234,ALMOHADILLA CINTURA ED. LIMITADA,1.000
604010240000028,J0267,KIT ZEN RENOVADO FELICIDAD,2.000
604010240000065,J0267,KIT ZEN RENOVADO SERENIDAD,1.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,7.000
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,7.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,12.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,15.000
