F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
23/09/2024,737,602010020140026,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,23/09/2024,UNI,0,23/09/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
02/10/2023,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,18/11/2024,UNI,0,18/11/2024,17,15/10/2024,16,1,,57.9,57.9,,JARDIN DEL ZEN
16/10/2023,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,28/09/2024,UNI,1,11/09/2024,9,28/09/2024,9,1,,57.9,57.9,16/10/2023,JARDIN DEL ZEN
04/10/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,11/09/2024,UNI,1,11/09/2024,9,01/09/2024,8,2,,57.9,115.8,16/10/2023,JARDIN DEL ZEN
07/10/2024,740,602010020140041,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,,07/10/2024,UNI,0,07/10/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
17/12/2023,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,13/11/2024,UNI,0,11/09/2024,11,13/11/2024,11,0,,57.9,0,,JARDIN DEL ZEN
04/10/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,18/11/2024,UNI,0,18/11/2024,27,16/11/2024,26,1,,69.9,69.9,,JARDIN DEL ZEN
20/11/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,11/09/2024,UNI,0,11/09/2024,11,13/08/2024,9,2,,57.9,115.8,,JARDIN DEL ZEN
16/10/2023,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,17/11/2024,UNI,1,28/10/2024,13,17/11/2024,13,1,,57.9,57.9,16/10/2023,JARDIN DEL ZEN
05/01/2024,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,19/10/2024,UNI,0,07/10/2024,6,19/10/2024,6,0,,57.9,0,,JARDIN DEL ZEN
04/10/2023,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,10/11/2024,UNI,0,21/10/2024,32,10/11/2024,32,0,,57.9,0,,JARDIN DEL ZEN
15/01/2024,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,18/11/2024,UNI,0,18/11/2024,7,02/11/2024,6,1,,57.9,57.9,,JARDIN DEL ZEN
09/12/2023,611,602050010110000,,J0025,DIFUSOR 100 ML,100 ML,.,,09/12/2023,UNI,0,,0,09/12/2023,0,0,,0,0,,JARDIN DEL ZEN
09/12/2023,612,602050010120000,,J0025,DIFUSOR 120 ML,120 ML,.,,09/12/2023,UNI,0,,0,09/12/2023,0,0,,0,0,,JARDIN DEL ZEN
09/12/2023,763,602050010140000,,J0025,DIFUSOR 180 ML,180 ML,.,,09/12/2023,UNI,0,,0,09/12/2023,0,0,,0,0,,JARDIN DEL ZEN
09/12/2023,762,602050010420000,,J0025,DIFUSOR 300 ML,300 ML,.,,09/12/2023,UNI,0,,0,09/12/2023,0,0,,0,0,,JARDIN DEL ZEN
04/05/2024,761,602050020150000,,J0026,DIFUSOR BLANCO 200 ML,200 ML,.,,04/05/2024,UNI,0,,0,04/05/2024,0,0,,0,0,,JARDIN DEL ZEN
01/10/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,11/09/2024,UNI,2,11/09/2024,1,,0,3,,39.9,119.7,16/10/2023,JARDIN DEL ZEN
01/10/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,,UNI,2,,0,,0,2,,49.9,99.8,16/10/2023,JARDIN DEL ZEN
01/10/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,,UNI,2,,0,,0,2,,65,130,16/10/2023,JARDIN DEL ZEN
01/10/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,14/09/2024,UNI,3,26/02/2024,8,14/09/2024,10,1,,65,65,16/10/2023,JARDIN DEL ZEN
16/10/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,06/11/2024,UNI,2,07/10/2024,3,06/11/2024,4,1,,39.9,39.9,16/10/2023,JARDIN DEL ZEN
01/10/2023,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,07/10/2024,UNI,2,07/10/2024,6,08/09/2024,6,2,,49.9,99.8,16/10/2023,JARDIN DEL ZEN
01/10/2023,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,17/10/2024,UNI,3,23/04/2024,5,17/10/2024,5,3,,65,195,16/10/2023,JARDIN DEL ZEN
16/10/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,10/11/2024,UNI,5,30/09/2024,25,10/11/2024,28,2,,65,130,16/10/2023,JARDIN DEL ZEN
01/10/2023,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,23/09/2024,UNI,2,23/09/2024,10,12/09/2024,10,2,,39.9,79.8,16/10/2023,JARDIN DEL ZEN
01/10/2023,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,07/10/2024,UNI,1,07/10/2024,14,15/09/2024,13,2,,49.9,99.8,16/10/2023,JARDIN DEL ZEN
01/10/2023,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,08/11/2024,UNI,2,23/08/2024,13,08/11/2024,13,2,,65,130,16/10/2023,JARDIN DEL ZEN
16/10/2023,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,11/11/2024,UNI,2,11/11/2024,7,27/10/2024,7,2,,39.9,79.8,16/10/2023,JARDIN DEL ZEN
01/10/2023,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,01/11/2024,UNI,1,07/10/2024,4,01/11/2024,4,1,,49.9,49.9,16/10/2023,JARDIN DEL ZEN
01/10/2023,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,08/08/2024,UNI,6,25/10/2023,2,08/08/2024,4,4,,65,260,16/10/2023,JARDIN DEL ZEN
21/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,21/10/2024,UNI,0,21/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
21/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,21/10/2024,UNI,0,21/10/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
20/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,28/10/2024,UNI,0,28/10/2024,2,20/10/2024,1,1,,65,65,,JARDIN DEL ZEN
