Codigo,Modelo,Descripcion,Cant.
601010010120068,J0072,ACEITE NUTRITIVO 120 ML TIARE,4.000
601010010120069,J0072,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,2.000
601010050080003,J0076,ACEITE PARA MASAJES 34 ML AMOR,3.000
601010050080024,J0076,ACEITE PARA MASAJES 34 ML ENERGÍA,3.000
601010050080028,J0076,ACEITE PARA MASAJES 34 ML FELICIDAD,2.000
601010050080065,J0076,ACEITE PARA MASAJES 34 ML SERENIDAD,3.000
601010050180024,J0076,ACEITE PARA MASAJES 240 ML ENERGÍA,2.000
601010050180028,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,1.000
601010050180073,J0076,ACEITE PARA MASAJES 240 ML TRANQ.,2.000
602010010140003,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,1.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,1.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,1.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,3.000
602010010140031,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,2.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,3.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,2.000
601040010040003,J0086,COLONIA 10 ML AMOR,2.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,5.000
601040010140005,J0086,COLONIA 180 ML ARMONÍA,2.000
601040010140024,J0086,COLONIA 180 ML ENERGÍA,2.000
601040010140028,J0086,COLONIA 180 ML FELICIDAD,2.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,6.000
601040040140056,J0230,COLONIAS EDICION ESPECIAL 180 ML ORQUIDEA BLANCA,3.000
601020020070024,J0102,CREMA HUMECTANTE 30 ML ENERGÍA,2.000
601020020160024,J0102,CREMA HUMECTANTE 190 GR ENERGÍA,1.000
601020020160028,J0102,CREMA HUMECTANTE 190 GR FELICIDAD,4.000
602070010040013,J0028,FRAGANCIA 10 ML CANELA,2.000
602070010050056,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,3.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,2.000
602030010000000,J0024,CAJONERAS,2.000
601100340000000,J0205,JABON DE LA ABUELA CAJA X 3 UNIDADES,4.000
601100350000000,J0206,JABON OLIVA CAJA X 3 UNIDADES,3.000
601120010370015,J0164,LOCION PARA MANOS Y CUERPO 50 ML CHIRIMOYA,2.000
601120010370031,J0164,LOCION PARA MANOS Y CUERPO 50 ML HIERBA LUISA,1.000
601120010370050,J0164,LOCION PARA MANOS Y CUERPO 50 ML MENTA,1.000
601120010370053,J0164,LOCION PARA MANOS Y CUERPO 50 ML MUÑA,2.000
601120010370057,J0164,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,2.000
605010040000000,J0234,ALMOHADILLA CINTURA ED. LIMITADA,3.000
605010050000000,J0235,ALMOHADILLA CUELLO ED.LIMITADA,3.000
605010020000000,J0067,ALMOHADILLA DE CUELLO,2.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,5.000
605020010040011,J0069,ESENCIA 10 ML BUENAS NOCHES,4.000
605020010040066,J0069,ESENCIA 10 ML STRESS FREE,3.000
604010030000000,J0189,KIT BOTANICO,5.000
604010240000024,J0267,KIT ZEN RENOVADO ENERGÍA,1.000
604010240000065,J0267,KIT ZEN RENOVADO SERENIDAD,1.000
604010190000000,J0236,KIT ORQUIDEA BLANCA,3.000
602060010000000,J0063,FAROLA,1.000
602040010300078,J0050,CONO POTPOURRI 100 GR VAINILLA,1.000
602020020210035,J0058,SPRAY AROMATIZADOR 550 ML LAVANDA,1.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,10.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,15.000
602020020210078,J0058,SPRAY AROMATIZADOR 550 ML VAINILLA,1.000
603010100000000,J0010,PORTA INCIENSO LARGO,5.000
602060020000055,J0064,VELA BOTÁNICA NARANJA,1.000
604010300000000,J0353,KIT BUDA LIMPIADOR DE ENERGIAS,1.000
602050360000000,J0358,DIFUSOR PARLANTE 350 ML SETIEMBRE 2024,1.000
602050390000000,J0365,DIFUSOR FLAME 130 ML NOVIEMBRE 2024,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,4.000
602040080000000,J0369,CONO POTPOURRI REGALO 50 GR,2.000
602050380000086,J0364,DIFUSOR CERÁMICO PREMIUM ALPHA,2.000
602050380000087,J0364,DIFUSOR CERÁMICO PREMIUM MARINE,2.000
602050380000088,J0364,DIFUSOR CERÁMICO PREMIUM SUMMER,2.000
602010010140084,J0021,AROMATIZADOR BAMBOO 180 ML TE BLANCO,3.000
602050420000000,J0368,DIFUSOR MADERA 400 ML NOVIEMBRE 2024 1,1.000
602050410000000,J0367,DIFUSOR LED 300 ML NOVIEMBRE 2024,1.000
602050400000000,J0366,DIFUSOR MADERA 500 ML NOVIEMBRE 2024,1.000
