F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
19/06/2024,377,602010020140024,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,,19/09/2024,UNI,0,19/09/2024,3,13/08/2024,2,1,,57.9,57.9,,JARDIN DEL ZEN
18/11/2023,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,15/11/2024,UNI,0,15/11/2024,9,15/11/2024,9,0,,57.9,0,,JARDIN DEL ZEN
01/11/2023,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,15/11/2024,UNI,1,15/11/2024,4,08/10/2024,4,1,,57.9,57.9,01/11/2023,JARDIN DEL ZEN
24/11/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,15/11/2024,UNI,0,15/11/2024,5,15/11/2024,5,0,,57.9,0,,JARDIN DEL ZEN
19/09/2024,740,602010020140041,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,,19/09/2024,UNI,0,19/09/2024,1,,0,1,,57.9,57.9,,JARDIN DEL ZEN
01/11/2023,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,08/11/2024,UNI,2,21/08/2024,5,08/11/2024,6,1,,57.9,57.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,04/11/2024,UNI,1,04/11/2024,14,22/10/2024,13,2,,69.9,139.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,30/10/2024,UNI,1,04/10/2024,11,30/10/2024,9,3,,57.9,173.7,01/11/2023,JARDIN DEL ZEN
24/11/2023,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,14/02/2024,UNI,0,14/02/2024,2,20/01/2024,1,1,,57.9,57.9,,JARDIN DEL ZEN
24/11/2023,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,25/07/2024,UNI,0,14/02/2024,2,25/07/2024,2,0,,57.9,0,,JARDIN DEL ZEN
01/11/2023,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,16/11/2024,UNI,1,13/08/2024,8,16/11/2024,8,1,,57.9,57.9,01/11/2023,JARDIN DEL ZEN
24/11/2023,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,30/10/2024,UNI,0,30/10/2024,4,01/07/2024,3,1,,57.9,57.9,,JARDIN DEL ZEN
01/11/2023,622,602030010000000,,J0024,CAJONERAS,.,.,,03/02/2024,UNI,2,05/12/2023,3,03/02/2024,2,3,,28.5,85.5,01/11/2023,JARDIN DEL ZEN
01/11/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,,UNI,1,,0,,0,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,,UNI,1,,0,,0,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,24/11/2023,UNI,1,24/11/2023,1,,0,2,,65,130,01/11/2023,JARDIN DEL ZEN
01/11/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,17/10/2024,UNI,2,17/10/2024,2,19/09/2024,2,2,,65,130,01/11/2023,JARDIN DEL ZEN
01/11/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,04/10/2024,UNI,2,04/10/2024,3,29/09/2024,3,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,17/10/2024,UNI,2,17/10/2024,1,29/09/2024,2,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,27/03/2024,UNI,1,09/11/2023,1,27/03/2024,1,1,,65,65,01/11/2023,JARDIN DEL ZEN
11/05/2024,867,602070010040005,,J0028,FRAGANCIA 10 ML ARMONÍA,10 ML,ARMONÍA,,21/08/2024,UNI,0,21/08/2024,1,11/05/2024,1,0,,39.9,0,,JARDIN DEL ZEN
01/11/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,10/10/2024,UNI,1,10/10/2024,11,05/10/2024,8,4,,65,260,01/11/2023,JARDIN DEL ZEN
01/11/2023,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,17/09/2024,UNI,1,14/08/2024,5,17/09/2024,4,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,21/08/2024,UNI,2,21/08/2024,8,06/08/2024,8,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,14/08/2024,UNI,2,14/08/2024,5,07/07/2024,4,3,,65,195,01/11/2023,JARDIN DEL ZEN
01/11/2023,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,16/09/2024,UNI,1,24/11/2023,2,16/09/2024,1,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,15/04/2024,UNI,2,,0,15/04/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,17/10/2024,UNI,2,17/10/2024,3,06/08/2024,4,1,,65,65,01/11/2023,JARDIN DEL ZEN
17/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,17/10/2024,UNI,0,17/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
17/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,17/10/2024,UNI,0,17/10/2024,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
17/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,17/10/2024,UNI,0,17/10/2024,2,,0,2,,65,130,,JARDIN DEL ZEN
01/11/2023,415,602070010040020,,J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,,24/10/2024,UNI,1,24/10/2024,2,17/09/2024,2,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,445,602070010050020,,J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,,17/10/2024,UNI,1,17/10/2024,1,29/05/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,475,602070010070020,,J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,,15/11/2024,UNI,1,15/11/2024,3,09/11/2024,3,1,,65,65,01/11/2023,JARDIN DEL ZEN
17/05/2024,476,602070010070024,,J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,,08/11/2024,UNI,0,07/08/2024,5,08/11/2024,3,2,,65,130,,JARDIN DEL ZEN
01/11/2023,417,602070010040025,,J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,,11/04/2024,UNI,1,11/04/2024,1,27/02/2024,1,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,447,602070010050025,,J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,,17/10/2024,UNI,1,17/10/2024,2,19/09/2024,2,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,477,602070010070025,,J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,,04/11/2024,UNI,1,14/12/2023,1,04/11/2024,2,0,,65,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,418,602070010040026,,J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,,24/10/2024,UNI,1,24/10/2024,4,23/09/2024,4,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,448,602070010050026,,J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,,12/04/2024,UNI,1,21/03/2024,4,12/04/2024,4,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,478,602070010070026,,J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,,24/10/2024,UNI,1,24/10/2024,7,15/09/2024,7,1,,65,65,01/11/2023,JARDIN DEL ZEN
01/11/2023,479,602070010070028,,J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,,08/10/2024,UNI,2,05/01/2024,20,08/10/2024,16,6,,65,390,01/11/2023,JARDIN DEL ZEN
01/11/2023,420,602070010040031,,J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,,13/08/2024,UNI,5,13/08/2024,2,08/06/2024,5,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,450,602070010050031,,J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,,06/09/2024,UNI,3,21/08/2024,8,06/09/2024,9,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,480,602070010070031,,J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,,13/08/2024,UNI,4,13/08/2024,3,27/07/2024,5,2,,65,130,01/11/2023,JARDIN DEL ZEN
30/10/2024,1103,602070010040090,,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,10 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
30/10/2024,1104,602070010050090,,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,20 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
30/10/2024,1105,602070010070090,,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,30 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
01/11/2023,421,602070010040033,,J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,,02/03/2024,UNI,2,,0,02/03/2024,1,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,451,602070010050033,,J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,,13/08/2024,UNI,1,13/08/2024,3,04/03/2024,1,3,,49.9,149.7,01/11/2023,JARDIN DEL ZEN
01/11/2023,481,602070010070033,,J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,,13/09/2024,UNI,2,13/08/2024,2,13/09/2024,2,2,,65,130,01/11/2023,JARDIN DEL ZEN
01/11/2023,422,602070010040035,,J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,,21/08/2024,UNI,1,14/08/2024,4,21/08/2024,3,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,452,602070010050035,,J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,,17/10/2024,UNI,1,17/10/2024,5,10/09/2024,4,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,482,602070010070035,,J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,,08/11/2024,UNI,1,08/11/2024,6,01/11/2024,6,1,,65,65,01/11/2023,JARDIN DEL ZEN
01/11/2023,423,602070010040038,,J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,,30/04/2024,UNI,1,30/04/2024,1,22/04/2024,1,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,453,602070010050038,,J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,,18/04/2024,UNI,1,18/04/2024,3,09/04/2024,3,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,483,602070010070038,,J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,,,UNI,1,,0,,0,1,,65,65,01/11/2023,JARDIN DEL ZEN
01/11/2023,424,602070010040041,,J0028,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,,23/06/2024,UNI,1,30/05/2024,2,23/06/2024,3,0,,39.9,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,454,602070010050041,,J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,,30/10/2024,UNI,1,30/10/2024,4,06/10/2024,3,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,484,602070010070041,,J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,,04/11/2024,UNI,1,,0,04/11/2024,1,0,,65,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,425,602070010040042,,J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,,,UNI,1,,0,,0,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,455,602070010050042,,J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,,08/11/2024,UNI,1,08/11/2024,1,30/10/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
