Codigo,Modelo,Descripcion,Cant.
601160010000000,J0241,BLEND BABY FACE,3.000
601010010080068,J0072,ACEITE NUTRITIVO 34 ML TIARE,4.000
601010010120068,J0072,ACEITE NUTRITIVO 120 ML TIARE,4.000
601010010120069,J0072,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,3.000
602070010040008,J0028,FRAGANCIA 10 ML BAMBOO,1.000
602070010040031,J0028,FRAGANCIA 10 ML HIERBA LUISA,1.000
602070010040013,J0028,FRAGANCIA 10 ML CANELA,1.000
602070010040083,J0028,FRAGANCIA 10 ML TÉ VERBENA,1.000
602070010040064,J0028,FRAGANCIA 10 ML SANDALO,1.000
602070010040033,J0028,FRAGANCIA 10 ML JAZMIN,1.000
602020020070031,J0058,SPRAY AROMATIZADOR 30 ML HIERBA LUISA,2.000
602020020070035,J0058,SPRAY AROMATIZADOR 30 ML LAVANDA,2.000
602020020070043,J0058,SPRAY AROMATIZADOR 30 ML MANZANA CANELA,2.000
602020020070067,J0058,SPRAY AROMATIZADOR 30 ML TE VERDE,2.000
602020020070078,J0058,SPRAY AROMATIZADOR 30 ML VAINILLA,2.000
601100450260000,J0363,JABON HERBAL DE REGALO 33 GR,15.000
