F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
11/06/2024,377,602010020140024,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,,14/09/2024,UNI,0,13/08/2024,2,14/09/2024,2,0,,57.9,0,,JARDIN DEL ZEN
01/12/2023,737,602010020140026,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,,UNI,1,,0,,0,1,,57.9,57.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,12/11/2024,UNI,1,08/11/2024,7,12/11/2024,8,0,,57.9,0,01/12/2023,JARDIN DEL ZEN
01/02/2024,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,08/11/2024,UNI,0,08/11/2024,4,28/08/2024,3,1,,57.9,57.9,,JARDIN DEL ZEN
01/12/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,08/11/2024,UNI,1,08/11/2024,5,23/10/2024,5,1,,57.9,57.9,01/12/2023,JARDIN DEL ZEN
13/02/2024,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,08/11/2024,UNI,0,08/11/2024,5,18/10/2024,4,1,,57.9,57.9,,JARDIN DEL ZEN
01/12/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,27/10/2024,UNI,1,30/09/2024,7,27/10/2024,7,1,,69.9,69.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,18/08/2024,UNI,1,13/08/2024,5,18/08/2024,6,0,,57.9,0,01/12/2023,JARDIN DEL ZEN
01/02/2024,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,08/11/2024,UNI,0,08/11/2024,5,15/10/2024,4,1,,57.9,57.9,,JARDIN DEL ZEN
04/03/2024,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,05/08/2024,UNI,0,11/06/2024,4,05/08/2024,2,2,,57.9,115.8,,JARDIN DEL ZEN
04/03/2024,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,17/10/2024,UNI,0,14/10/2024,5,17/10/2024,5,0,,57.9,0,,JARDIN DEL ZEN
